Width,Height,Area,Gesture
259,106,27454,2
256,106,27136,2
256,106,27136,2
257,106,27242,2
255,106,27030,2
258,105,27090,2
257,105,26985,2
254,105,26670,2
255,106,27030,2
255,106,27030,2
257,106,27242,2
256,106,27136,2
256,107,27392,2
253,110,27830,2
255,110,28050,2
256,111,28416,2
254,112,28448,2
253,112,28336,2
255,112,28560,2
255,112,28560,2
258,111,28638,2
256,110,28160,2
255,110,28050,2
258,109,28122,2
255,109,27795,2
256,108,27648,2
254,108,27432,2
253,107,27071,2
257,108,27756,2
254,107,27178,2
256,107,27392,2
255,107,27285,2
254,107,27178,2
256,107,27392,2
253,107,27071,2
255,106,27030,2
254,106,26924,2
253,106,26818,2
252,106,26712,2
252,105,26460,2
251,105,26355,2
252,105,26460,2
252,105,26460,2
252,105,26460,2
251,105,26355,2
251,105,26355,2
253,105,26565,2
251,105,26355,2
251,105,26355,2
252,105,26460,2
251,105,26355,2
250,105,26250,2
252,105,26460,2
251,105,26355,2
251,105,26355,2
253,104,26312,2
251,104,26104,2
251,105,26355,2
252,104,26208,2
251,105,26355,2
251,105,26355,2
252,105,26460,2
251,105,26355,2
250,105,26250,2
252,105,26460,2
251,104,26104,2
250,105,26250,2
249,105,26145,2
250,104,26000,2
251,104,26104,2
251,104,26104,2
249,105,26145,2
253,105,26565,2
251,104,26104,2
249,104,25896,2
251,104,26104,2
251,105,26355,2
251,105,26355,2
251,105,26355,2
249,104,25896,2
248,104,25792,2
248,103,25544,2
249,103,25647,2
248,104,25792,2
249,104,25896,2
248,103,25544,2
247,103,25441,2
245,103,25235,2
246,103,25338,2
247,103,25441,2
247,103,25441,2
246,103,25338,2
249,103,25647,2
245,102,24990,2
247,103,25441,2
245,103,25235,2
245,103,25235,2
245,102,24990,2
249,103,25647,2
244,103,25132,2
244,103,25132,2
243,104,25272,2
243,103,25029,2
244,103,25132,2
245,103,25235,2
245,104,25480,2
244,103,25132,2
246,103,25338,2
244,103,25132,2
246,103,25338,2
243,103,25029,2
245,103,25235,2
244,103,25132,2
245,102,24990,2
245,103,25235,2
244,103,25132,2
245,103,25235,2
244,104,25376,2
244,103,25132,2
246,103,25338,2
245,103,25235,2
244,103,25132,2
246,103,25338,2
244,103,25132,2
246,103,25338,2
245,103,25235,2
245,103,25235,2
246,103,25338,2
245,103,25235,2
246,103,25338,2
245,103,25235,2
246,103,25338,2
245,103,25235,2
247,104,25688,2
244,103,25132,2
246,103,25338,2
246,103,25338,2
248,104,25792,2
247,104,25688,2
247,104,25688,2
245,104,25480,2
248,104,25792,2
244,104,25376,2
245,104,25480,2
246,104,25584,2
245,104,25480,2
245,104,25480,2
247,104,25688,2
247,104,25688,2
246,104,25584,2
247,104,25688,2
247,104,25688,2
246,104,25584,2
246,104,25584,2
245,104,25480,2
246,104,25584,2
246,104,25584,2
247,104,25688,2
249,104,25896,2
246,104,25584,2
246,104,25584,2
249,104,25896,2
246,104,25584,2
247,104,25688,2
246,104,25584,2
247,103,25441,2
245,103,25235,2
248,104,25792,2
247,103,25441,2
248,103,25544,2
244,103,25132,2
248,103,25544,2
246,103,25338,2
246,103,25338,2
245,103,25235,2
249,104,25896,2
246,103,25338,2
247,103,25441,2
246,104,25584,2
245,103,25235,2
245,103,25235,2
246,103,25338,2
245,103,25235,2
245,103,25235,2
245,103,25235,2
245,103,25235,2
248,103,25544,2
243,103,25029,2
244,103,25132,2
245,103,25235,2
245,103,25235,2
244,103,25132,2
246,103,25338,2
247,103,25441,2
248,104,25792,2
245,103,25235,2
247,103,25441,2
246,103,25338,2
247,103,25441,2
245,103,25235,2
247,103,25441,2
245,103,25235,2
246,103,25338,2
246,103,25338,2
245,103,25235,2
245,103,25235,2
245,103,25235,2
246,103,25338,2
246,103,25338,2
247,103,25441,2
247,104,25688,2
246,104,25584,2
245,103,25235,2
247,103,25441,2
246,104,25584,2
247,104,25688,2
249,104,25896,2
246,103,25338,2
246,103,25338,2
247,103,25441,2
246,103,25338,2
246,103,25338,2
247,104,25688,2
247,103,25441,2
246,104,25584,2
246,104,25584,2
247,103,25441,2
248,104,25792,2
247,104,25688,2
247,104,25688,2
249,104,25896,2
246,104,25584,2
246,104,25584,2
248,104,25792,2
247,105,25935,2
248,105,26040,2
246,104,25584,2
244,104,25376,2
245,104,25480,2
245,104,25480,2
246,104,25584,2
247,104,25688,2
246,104,25584,2
245,104,25480,2
246,104,25584,2
248,104,25792,2
245,104,25480,2
247,104,25688,2
247,104,25688,2
245,104,25480,2
247,103,25441,2
246,104,25584,2
245,104,25480,2
247,103,25441,2
247,104,25688,2
245,104,25480,2
244,104,25376,2
242,110,26620,2
246,110,27060,2
245,109,26705,2
243,107,26001,2
244,106,25864,2
243,107,26001,2
245,108,26460,2
244,107,26108,2
245,105,25725,2
244,106,25864,2
245,103,25235,2
246,103,25338,2
247,103,25441,2
245,102,24990,2
246,102,25092,2
245,103,25235,2
244,103,25132,2
244,103,25132,2
245,104,25480,2
245,104,25480,2
244,104,25376,2
246,104,25584,2
245,104,25480,2
246,104,25584,2
246,104,25584,2
247,105,25935,2
247,104,25688,2
246,104,25584,2
246,104,25584,2
246,104,25584,2
247,104,25688,2
245,103,25235,2
246,103,25338,2
246,103,25338,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
244,104,25376,2
245,103,25235,2
244,103,25132,2
243,103,25029,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
246,103,25338,2
244,103,25132,2
244,103,25132,2
244,104,25376,2
245,103,25235,2
245,103,25235,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
245,104,25480,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
246,103,25338,2
244,103,25132,2
245,103,25235,2
243,103,25029,2
243,103,25029,2
244,102,24888,2
245,102,24990,2
245,103,25235,2
243,103,25029,2
245,103,25235,2
244,103,25132,2
243,103,25029,2
246,103,25338,2
245,103,25235,2
245,103,25235,2
245,103,25235,2
245,103,25235,2
246,103,25338,2
244,103,25132,2
245,103,25235,2
244,103,25132,2
244,103,25132,2
247,102,25194,2
245,103,25235,2
243,102,24786,2
244,102,24888,2
244,102,24888,2
243,103,25029,2
246,102,25092,2
244,103,25132,2
242,102,24684,2
245,102,24990,2
242,102,24684,2
244,102,24888,2
243,102,24786,2
242,102,24684,2
243,102,24786,2
244,102,24888,2
244,102,24888,2
245,102,24990,2
244,102,24888,2
241,102,24582,2
246,102,25092,2
243,102,24786,2
246,103,25338,2
245,103,25235,2
247,103,25441,2
247,103,25441,2
246,103,25338,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
244,103,25132,2
243,103,25029,2
243,103,25029,2
243,102,24786,2
242,102,24684,2
245,102,24990,2
244,102,24888,2
243,102,24786,2
243,103,25029,2
244,102,24888,2
246,103,25338,2
243,103,25029,2
243,103,25029,2
243,103,25029,2
244,103,25132,2
245,103,25235,2
241,103,24823,2
243,103,25029,2
245,102,24990,2
242,102,24684,2
245,102,24990,2
244,102,24888,2
241,102,24582,2
241,102,24582,2
244,102,24888,2
244,102,24888,2
244,102,24888,2
245,102,24990,2
244,103,25132,2
243,102,24786,2
